Date,Hour,Time Block,Purchase Bid (MW),Sell Bid (MW),MCV (MW),Final Scheduled Volume (MW),MCP (Rs/MWh) *
6/1/2026,1,00:00 - 00:15,12134.3,29627.9,6977.2,6977.2,2469.99
6/1/2026,1,00:15 - 00:30,12980,30215.2,7465.3,7465.3,2600.6
6/1/2026,1,00:30 - 00:45,13617.7,30735.2,7848.7,7848.7,2630.37
6/1/2026,1,00:45 - 01:00,13668.7,31057.3,8110,8110,2590.37
6/1/2026,2,01:00 - 01:15,13414.6,31756.4,8121.1,8121.1,2580.2
6/1/2026,2,01:15 - 01:30,13486.8,32027.2,7928.5,7928.5,2530.8
6/1/2026,2,01:30 - 01:45,13350.9,32396.6,8099.8,8099.8,2500.31
6/1/2026,2,01:45 - 02:00,13319.4,32909.9,8078.2,8078.2,2469.74
6/1/2026,3,02:00 - 02:15,13718,33295.7,8126,8126,2469.63
6/1/2026,3,02:15 - 02:30,14064,33220.7,8470.9,8470.9,2469.79
6/1/2026,3,02:30 - 02:45,14301.8,33479.7,8707.9,8707.9,2469.9
6/1/2026,3,02:45 - 03:00,14496.9,33581.9,9200.4,9200.4,2580.54
6/1/2026,4,03:00 - 03:15,14641,33616.2,9443.7,9443.7,2580.92
6/1/2026,4,03:15 - 03:30,14833.7,33649.1,9498.1,9498.1,2585.73
6/1/2026,4,03:30 - 03:45,15023.5,33849.6,9663.62,9663.62,2585.35
6/1/2026,4,03:45 - 04:00,15113.5,33929.4,9639.83,9639.83,2585.41
6/1/2026,5,04:00 - 04:15,15239.7,34398,9192.7,9192.7,2580.15
6/1/2026,5,04:15 - 04:30,15446.6,33490.7,9067.48,9067.48,2600.3
6/1/2026,5,04:30 - 04:45,15644.6,32623.5,9068.1,9068.1,2630.63
6/1/2026,5,04:45 - 05:00,15840.6,31538,8701.5,8701.5,2741.03
6/1/2026,6,05:00 - 05:15,15755.5,27813.1,8342.6,8342.6,2889.55
6/1/2026,6,05:15 - 05:30,15120.8,24991.7,8182.3,8182.3,2948.95
6/1/2026,6,05:30 - 05:45,13430.7,22767.4,7132.6,7132.6,2964.32
6/1/2026,6,05:45 - 06:00,13820,20822.4,7185.7,7185.7,3200.1
6/1/2026,7,06:00 - 06:15,15788.2,18555.8,7828.5,7828.5,3599.43
6/1/2026,7,06:15 - 06:30,16525.3,17430.4,8156.2,8156.2,3711.57
6/1/2026,7,06:30 - 06:45,17241.7,14215.9,7705,7705,4147.38
6/1/2026,7,06:45 - 07:00,18223.5,12878.9,8291.2,8291.2,4487.98
6/1/2026,8,07:00 - 07:15,18789.9,12226,8653.5,8653.5,4672.89
6/1/2026,8,07:15 - 07:30,19808.5,12724.1,9515.8,9515.8,4999.45
6/1/2026,8,07:30 - 07:45,21880.2,11861.8,9560.6,9560.6,9000.53
6/1/2026,8,07:45 - 08:00,21663.5,11572.2,9319,9319,10000
6/1/2026,9,08:00 - 08:15,20665.7,12034,9764.2,9764.2,6322.44
6/1/2026,9,08:15 - 08:30,20600.3,12177.5,9809.3,9809.3,5601.71
6/1/2026,9,08:30 - 08:45,19844.1,12386.3,8999.5,8999.5,4950.72
6/1/2026,9,08:45 - 09:00,19769.2,12772,8867.56,8867.56,4672.81
6/1/2026,10,09:00 - 09:15,19368.3,14754.7,9680.5,9680.5,4280.63
6/1/2026,10,09:15 - 09:30,19427.7,14262.9,9787.1,9787.1,3860.87
6/1/2026,10,09:30 - 09:45,19773.9,14867,10242.1,10242.1,3860.43
6/1/2026,10,09:45 - 10:00,18531.8,14473.9,9897.5,9897.5,3810.14
6/1/2026,11,10:00 - 10:15,17062.2,13558.5,8946.2,8946.2,3294.95
6/1/2026,11,10:15 - 10:30,16752.4,13952.1,8631.9,8631.9,3294.17
6/1/2026,11,10:30 - 10:45,18600.8,15948.7,9365.2,9365.2,2860.61
6/1/2026,11,10:45 - 11:00,18898.7,16614,9174,9174,2719.8
6/1/2026,12,11:00 - 11:15,19061.4,18428.6,9465.2,9465.2,3100.6
6/1/2026,12,11:15 - 11:30,19465.9,20905,10102.1,10102.1,3240.43
6/1/2026,12,11:30 - 11:45,19022.9,22679,9313.75,9313.75,2910.69
6/1/2026,12,11:45 - 12:00,18971.4,24056.2,9424.4,9424.4,2950.76
6/1/2026,13,12:00 - 12:15,17225.1,24795.4,9095.52,9095.52,3100.73
6/1/2026,13,12:15 - 12:30,16945.1,25389,8676.21,8676.21,3000.77
6/1/2026,13,12:30 - 12:45,16720.8,26210.9,8305.9,8305.9,2799.47
6/1/2026,13,12:45 - 13:00,16269.3,27403,8031.5,8031.5,2710.99
6/1/2026,14,13:00 - 13:15,16002.7,29262.4,8260.51,8260.51,2670.1
6/1/2026,14,13:15 - 13:30,15300,30210.3,8396.69,8396.69,2499.11
6/1/2026,14,13:30 - 13:45,14903.6,30483.6,8369.6,8369.6,2420.29
6/1/2026,14,13:45 - 14:00,14569.3,30256.4,8154.8,8154.8,2416.85
6/1/2026,15,14:00 - 14:15,17610.3,30272,8452.7,8452.7,2590.15
6/1/2026,15,14:15 - 14:30,17676.1,29873,8596.23,8596.23,2720.65
6/1/2026,15,14:30 - 14:45,17937.5,25956.1,9456.67,9456.67,2810.51
6/1/2026,15,14:45 - 15:00,18728,24451.7,9225.84,9225.84,2810.96
6/1/2026,16,15:00 - 15:15,18696.3,22862.6,9513.8,9513.8,3069.76
6/1/2026,16,15:15 - 15:30,18353.1,22466.4,9400.78,9400.78,3130.98
6/1/2026,16,15:30 - 15:45,18414,21800.6,9490,9490,3294.02
6/1/2026,16,15:45 - 16:00,18407.6,21104,9815.1,9815.1,3294.85
6/1/2026,17,16:00 - 16:15,17379.5,18055.1,9256.3,9256.3,3357.78
6/1/2026,17,16:15 - 16:30,17247.2,15442.5,8738.9,8738.9,3582.21
6/1/2026,17,16:30 - 16:45,16811.9,13121.1,7985.5,7985.5,3711.02
6/1/2026,17,16:45 - 17:00,18405.4,11335.8,8938.5,8938.5,5354.81
6/1/2026,18,17:00 - 17:15,15775.1,9246.4,6820.3,6820.3,5460.42
6/1/2026,18,17:15 - 17:30,17198.9,8167.5,6094.89,6094.89,10000
6/1/2026,18,17:30 - 17:45,17720.8,7804.9,5932.3,5932.3,10000
6/1/2026,18,17:45 - 18:00,21181.5,7130.5,5257.9,5257.9,10000
6/1/2026,19,18:00 - 18:15,23005.1,7059.2,5186.6,5186.6,10000
6/1/2026,19,18:15 - 18:30,23179.1,7129.2,5256.58,5256.58,10000
6/1/2026,19,18:30 - 18:45,21668.6,7182.7,5310.1,5310.1,10000
6/1/2026,19,18:45 - 19:00,18923.6,7280.6,5408,5408,10000
6/1/2026,20,19:00 - 19:15,18385.8,7591.9,5619.3,5619.3,10000
6/1/2026,20,19:15 - 19:30,17373.7,7877.5,5604.9,5604.9,10000
6/1/2026,20,19:30 - 19:45,15444.9,8436.6,5693,5693,7001.5
6/1/2026,20,19:45 - 20:00,13795.1,8688.2,5491.39,5491.39,5000.78
6/1/2026,21,20:00 - 20:15,12287,9352.3,5261.5,5261.5,4608.59
6/1/2026,21,20:15 - 20:30,12071.2,9867.8,5433.9,5433.9,4549.08
6/1/2026,21,20:30 - 20:45,11990.5,10327.7,5558.4,5558.4,4600.28
6/1/2026,21,20:45 - 21:00,12166.2,10865.2,5871.6,5871.6,4500.38
6/1/2026,22,21:00 - 21:15,13383.2,12928.3,6715.6,6715.6,4249.43
6/1/2026,22,21:15 - 21:30,13947.1,14582.7,7367.6,7367.6,4249.42
6/1/2026,22,21:30 - 21:45,13654.2,15334.7,6643.2,6643.2,4160.67
6/1/2026,22,21:45 - 22:00,13920.2,16509.1,7230.6,7230.6,4147.5
6/1/2026,23,22:00 - 22:15,13085.1,16747.5,5841.8,5841.8,3919.18
6/1/2026,23,22:15 - 22:30,13285.8,18196.2,5910.1,5910.1,3800.18
6/1/2026,23,22:30 - 22:45,13785.4,20218.1,6371.2,6371.2,3500.51
6/1/2026,23,22:45 - 23:00,13300.1,21604.8,6204.2,6204.2,3419.52
6/1/2026,24,23:00 - 23:15,12332.4,23672.5,5875.89,5875.89,2948.45
6/1/2026,24,23:15 - 23:30,11999.2,24959.5,5661.62,5661.62,2900.91
6/1/2026,24,23:30 - 23:45,11877.6,25974.6,5802.5,5802.5,2889.91
6/1/2026,24,23:45 - 24:00,11891.5,25850.8,5887.2,5887.2,2778.42
7/1/2026,1,00:00 - 00:15,11442.3,26618.1,5840.3,5840.3,2785.03
7/1/2026,1,00:15 - 00:30,12057.6,26794.7,6206.89,6206.89,2810.65
7/1/2026,1,00:30 - 00:45,12510.1,27735.8,6475.6,6475.6,2860.61
7/1/2026,1,00:45 - 01:00,12547.1,28136.8,6335.8,6335.8,2822.19
7/1/2026,2,01:00 - 01:15,12675.4,28919,6450,6450,2765.23
7/1/2026,2,01:15 - 01:30,12856.1,29257,6589.22,6589.22,2760.92
7/1/2026,2,01:30 - 01:45,12872,29914.9,6811.81,6811.81,2720.54
7/1/2026,2,01:45 - 02:00,12860.5,30181.2,6731.3,6731.3,2741.06
7/1/2026,3,02:00 - 02:15,13268.8,30685.6,7093.1,7093.1,2650.55
7/1/2026,3,02:15 - 02:30,14194,30587.4,7310.66,7310.66,2670.86
7/1/2026,3,02:30 - 02:45,14390.3,30874.2,7397.6,7397.6,2673.67
7/1/2026,3,02:45 - 03:00,14516.1,30939.1,7740,7740,2719.58
7/1/2026,4,03:00 - 03:15,14484,31012.5,7746,7746,2689.64
7/1/2026,4,03:15 - 03:30,14750.8,31033.6,7917.8,7917.8,2705.45
7/1/2026,4,03:30 - 03:45,15037.2,31033.9,8140.2,8140.2,2736.06
7/1/2026,4,03:45 - 04:00,15092.4,31209.7,8237.98,8237.98,2720.22
